"param","estimate","lower_bound","upper_bound","model"
"rum_int~~rum_int",0.994316721809922,0.983030866816601,1.00560257680324,"orig"
"rum_slope~~rum_slope",0.999296044961626,0.990971851753122,1.00762023817013,"orig"
"mj_int~~mj_int",0.968599996913002,0.924288663597224,1.01291133022878,"orig"
"mj_slope~~mj_slope",0.987834743855183,0.96093926954503,1.01473021816534,"orig"
"smw~1",0.232207671709512,0.16438113660461,0.300034206814415,"orig"
"RUMXSc_17~~RUMXSc_17",0.399730948360626,0.328572036144665,0.470889860576586,"orig"
"RUMXSc_18~~RUMXSc_18",0.453831262979057,0.411393202111897,0.496269323846217,"orig"
"RUMXSc_19~~RUMXSc_19",0.481224408544574,0.436098184996926,0.526350632092223,"orig"
"RUMXSc_20~~RUMXSc_20",0.471685288143628,0.396852467521374,0.546518108765881,"orig"
"nadu_mj_18~~nadu_mj_18",0.301208478955148,0.149852592727921,0.452564365182374,"orig"
"nadu_mj_19~~nadu_mj_19",0.42309597228736,0.364075206786744,0.482116737787977,"orig"
"nadu_mj_20~~nadu_mj_20",0.27917654587569,0.141610806669047,0.416742285082333,"orig"
"smw~~smw",0.992687013571272,0.976005211278477,1.00936881586407,"orig"
"rum_int~1",3.24549077275514,2.9963943379035,3.49458720760678,"orig"
"rum_slope~1",0.00690376621368097,-0.189173637600084,0.202981170027446,"orig"
"mj_int~1",0.859965753536578,0.521764483538995,1.19816702353416,"orig"
"mj_slope~1",0.269201615776238,-0.148557039258844,0.68696027081132,"orig"
"rum_int=~RUMXSc_17",0.745208764190184,0.698699465345131,0.791718063035238,"mi"
"rum_int=~RUMXSc_18",0.768922415105421,0.719943660013798,0.817901170197044,"mi"
"rum_int=~RUMXSc_19",0.748946082805348,0.699508940017643,0.798383225593052,"mi"
"rum_int=~RUMXSc_20",0.760490774760342,0.708652825925824,0.81232872359486,"mi"
"rum_slope=~RUMXSc_18",0.148710409094569,0.0776842058444023,0.219736612344735,"mi"
"rum_slope=~RUMXSc_19",0.289604028433119,0.151833711654887,0.427374345211351,"mi"
"rum_slope=~RUMXSc_20",0.441287792774287,0.229688579242551,0.652887006306022,"mi"
"mj_int=~nadu_mj_18",0.981486981279631,0.886843606753907,1.07613035580536,"mi"
"mj_int=~nadu_mj_19",0.911150328841706,0.825491628421996,0.996809029261416,"mi"
"mj_int=~nadu_mj_20",0.84326494730147,0.766754525838411,0.91977536876453,"mi"
"mj_slope=~nadu_mj_18",-0.724603603700712,-0.971918110200702,-0.477289097200722,"mi"
"mj_slope=~nadu_mj_19",-0.336346167082781,-0.450897193246537,-0.221795140919025,"mi"
"rum_int~smw",0.0206604986829224,-0.02998756141424,0.0713085587800848,"mi"
"rum_slope~smw",0.0409119171391385,-0.138344033125123,0.2201678674034,"mi"
"mj_slope~rum_int",-0.00800609984855799,-0.110364445784724,0.094352246087608,"mi"
"mj_slope~rum_slope",0.0643732175445835,-0.258169337594469,0.386915772683636,"mi"
"mj_slope~smw",-0.0185503749995331,-0.150421704963229,0.113320954964163,"mi"
"mj_int~rum_int",0.1006127971102,0.024990809973944,0.176234784246456,"mi"
"mj_int~rum_slope",0.20697043579525,0.0106417855222021,0.403299086068299,"mi"
"mj_int~smw",0.119426473154558,0.0341286347383436,0.204724311570773,"mi"
"rum_int~white",-0.0094755946426874,-0.0612916484731886,0.0423404591878138,"mi"
"rum_int~other",0.00254158177635427,-0.0520224073376956,0.0571055708904041,"mi"
"rum_slope~white",-0.0737123608767624,-0.235908964615393,0.0884842428618687,"mi"
"rum_slope~other",0.00270960257295062,-0.175629518486873,0.181048723632774,"mi"
"mj_int~white",-0.0507821106854799,-0.121769527587,0.0202053062160399,"mi"
"mj_int~other",0.00119091256723244,-0.075552725585335,0.0779345507197998,"mi"
"mj_slope~white",0.000252076423219568,-0.120303753585249,0.120807906431689,"mi"
"mj_slope~other",-0.0241065235933298,-0.150569849192207,0.102356802005547,"mi"
"smw~white",-0.0264606811505879,-0.072359773527544,0.0194384112263683,"mi"
"smw~other",0.0328110092161166,-0.0213823743652823,0.0870043927975155,"mi"
"white~1",0.837485659808499,0.797405956579485,0.877565363037512,"mi"
